parent,survey,date,total_length
402,MoulinDeLaScience,2023-01-28,17.42
403,GrotteLapisLazuli,2023-01-31,205.74
AvenDesArchesPerdues,Entree,2023-02-02,718.17
402,PerteDeRascarcapac,2023-02-03,63.0
CuevaPirates,PiratesJonction,2023-02-07,164.204
CuevaPirates,Ascension,2023-02-08,54.11
CuevaPirates,DodgyPlumbingResurvey,2023-02-08,167.1
106,Perte25MetresNageLibre,2023-02-08,77.43
CuevaPirates,PrioriteADroite,2023-02-08,147.527
CuevaPirates,SalinasNew3,2023-02-09,63.14
CuevaPirates,SalinasNew4,2023-02-09,92.543
CuevaPirates,SalinasNew5,2023-02-09,129.35
106,PerteChampis,2023-02-10,34.295
CuevaPirates,PinceMi,2023-02-10,142.603
GouffrePlusPlus,Suite,2023-02-10,276.512
CuevaPirates,UnCaillouDansLaCulotte,2023-02-10,97.101
106,GouffreDejaVu,2023-02-11,150.688
106,PuitsDeLArche,2023-02-11,32.0
AvenDesArchesPerdues,FenetreMeteo,2023-02-12,301.54
CuevaPirates,Girafe,2023-02-13,168.142
106,ResurgenceGolondrina,2023-02-16,419.534
106,ResurgencePirate,2023-02-16,155.0
GouffreDuBowling,MeandreB,2023-02-18,129.757
CuevaPirates,GalerieDesLombrics,2023-02-21,296.613
AvenDesArchesPerdues,Collecteur,2023-02-22,241.833
AvenDesArchesPerdues,Panthere,2023-02-22,155.232
CuevaPirates,Pincemi2,2023-02-25,101.33
CuevaPirates,PincemiActif,2023-02-25,67.017
CuevaPirates,PincemiBoucle,2023-02-25,145.631
106,GrandeFailleDuBoutDuMonde,2023-02-27,55.6
107,GrotteDeLAncien,2023-02-27,710.436
106,TraverseeDeLIndecision,2023-02-27,107.72
ReveEveille,CPF,2023-02-28,34.68
106,PorcheEden,2023-03-01,76.09
CuevaPirates,Rhinalto,2023-03-02,126.352
106,Casablanca,2023-03-03,73.24
ReveEveille,cpff,2023-03-03,155.62
CuevaPirates,Actif0303,2023-03-05,148.61
106,CuevaNoTime,2023-03-07,437.2
CuevaPirates,SiphonAmont,2023-03-07,207.0
AvenDesArchesPerdues,Arches_Perdues_55,2023-03-08,167.67
AvenDesArchesPerdues,Arches_Perdues_Siphon_2,2023-03-08,38.73
AvenDesArchesPerdues,Arches_Perdues_last,2023-03-08,119.637
